date,description,amount,category,transaction_type
2024-07-31,Starbucks,2963.55,Food,Expense
2024-07-31,Zomato,2644.18,Food,Expense
2024-07-31,Electricity Bill,433.94,Bills & Utilities,Expense
2024-07-31,Monthly Rent,20763.97,Rent,Expense
2024-07-31,Apollo Pharmacy,2775.1,Healthcare,Expense
2024-08-01,Indian Railways,208.02,Transportation,Expense
2024-08-01,McDonalds,2299.36,Food,Expense
2024-08-01,Indigo Airlines,7122.46,Travel,Expense
2024-08-01,Metro Card Recharge,2146.62,Transportation,Expense
2024-08-01,BookMyShow,679.65,Entertainment,Expense
2024-08-01,Freelance Gig,51825.07,Salary,Income
2024-08-01,Dental Checkup,712.23,Healthcare,Expense
2024-08-01,Cafe Coffee Day,2652.37,Food,Expense
2024-08-02,Starbucks,1867.58,Food,Expense
2024-08-02,Zara,552.2,Shopping,Expense
2024-08-02,Metro Card Recharge,1245.64,Transportation,Expense
2024-08-02,Consulting Fee,61615.13,Salary,Income
2024-08-02,Local Bakery,207.22,Food,Expense
2024-08-02,Water Bill,539.33,Bills & Utilities,Expense
2024-08-03,Monthly Rent,13023.19,Rent,Expense
2024-08-03,Uber,1130.75,Transportation,Expense
2024-08-03,Jio Recharge,2561.08,Bills & Utilities,Expense
2024-08-03,Metro Card Recharge,1310.97,Transportation,Expense
2024-08-03,Water Bill,16222.88,Bills & Utilities,Expense
2024-08-03,Swiggy,1800.52,Food,Expense
2024-08-04,BookMyShow,2035.5,Entertainment,Expense
2024-08-04,Consulting Fee,64020.87,Salary,Income
2024-08-04,Metro Card Recharge,805.13,Transportation,Expense
2024-08-04,BookMyShow,2460.4,Entertainment,Expense
2024-08-04,Jio Recharge,1944.94,Bills & Utilities,Expense
2024-08-04,Swiggy,1101.56,Food,Expense
2024-08-04,Amazon Prime,819.43,Entertainment,Expense
2024-08-04,Netflix,615.68,Entertainment,Expense
2024-08-05,Swiggy,2919.99,Food,Expense
2024-08-05,Amazon,1864.48,Shopping,Expense
2024-08-05,Swiggy,682.58,Food,Expense
2024-08-05,Myntra,2907.69,Shopping,Expense
2024-08-05,Indian Railways,1335.09,Transportation,Expense
2024-08-05,Petrol Pump,1321.91,Transportation,Expense
2024-08-05,Consulting Fee,84964.24,Salary,Income
2024-08-06,Flipkart,2733.64,Shopping,Expense
2024-08-06,Zomato,327.36,Food,Expense
2024-08-06,Netflix,1176.2,Entertainment,Expense
2024-08-06,Cafe Coffee Day,2226.6,Food,Expense
2024-08-06,Dominos Pizza,2138.5,Food,Expense
2024-08-06,Tech Corp Salary,124752.27,Salary,Income
2024-08-06,Uber,2219.11,Transportation,Expense
2024-08-06,Monthly Rent,16303.34,Rent,Expense
2024-08-06,Tech Corp Salary,117804.58,Salary,Income
2024-08-06,Spotify,2889.48,Entertainment,Expense
2024-08-07,Metro Card Recharge,1149.64,Transportation,Expense
2024-08-07,Starbucks,885.53,Food,Expense
2024-08-07,Zomato,706.76,Food,Expense
2024-08-07,Airtel Broadband,1049.62,Bills & Utilities,Expense
2024-08-07,DMart,174.74,Shopping,Expense
2024-08-07,Metro Card Recharge,2490.24,Transportation,Expense
2024-08-07,Netflix,1359.47,Entertainment,Expense
2024-08-07,Starbucks,2995.54,Food,Expense
2024-08-07,Practo Consultation,2908.12,Healthcare,Expense
2024-08-07,Dominos Pizza,2837.05,Food,Expense
2024-08-07,Consulting Fee,113892.35,Salary,Income
2024-08-08,Practo Consultation,1466.2,Healthcare,Expense
2024-08-08,Amazon Prime,2457.24,Entertainment,Expense
2024-08-08,Starbucks,564.08,Food,Expense
2024-08-09,Myntra,2334.64,Shopping,Expense
2024-08-09,DMart,1315.73,Shopping,Expense
2024-08-09,Uber,731.14,Transportation,Expense
2024-08-09,Ola,331.98,Transportation,Expense
2024-08-09,Petrol Pump,1917.68,Transportation,Expense
2024-08-09,Cafe Coffee Day,2435.05,Food,Expense
2024-08-10,Cafe Coffee Day,1907.51,Food,Expense
2024-08-10,MakeMyTrip,14047.69,Travel,Expense
2024-08-10,Zara,1566.24,Shopping,Expense
2024-08-10,Zomato,2106.59,Food,Expense
2024-08-10,Indian Railways,2781.89,Transportation,Expense
2024-08-10,Myntra,1643.95,Shopping,Expense
2024-08-10,Jio Recharge,2163.21,Bills & Utilities,Expense
2024-08-10,Monthly Rent,13213.59,Rent,Expense
2024-08-10,Airtel Broadband,1401.98,Bills & Utilities,Expense
2024-08-11,McDonalds,1761.74,Food,Expense
2024-08-11,MakeMyTrip,12564.13,Travel,Expense
2024-08-11,Dominos Pizza,2066.57,Food,Expense
2024-08-11,Zara,409.96,Shopping,Expense
2024-08-11,Reliance Digital,1908.44,Shopping,Expense
2024-08-11,Local Bakery,2974.32,Food,Expense
2024-08-11,Zomato,1311.64,Food,Expense
2024-08-11,Hotel Taj,5753.6,Travel,Expense
2024-08-11,Uber,1717.35,Transportation,Expense
2024-08-12,PVR Cinemas,2155.15,Entertainment,Expense
2024-08-12,Gas Cylinder,531.41,Bills & Utilities,Expense
2024-08-12,Practo Consultation,703.35,Healthcare,Expense
2024-08-12,Ola,2401.32,Transportation,Expense
2024-08-12,Monthly Rent,22547.17,Rent,Expense
2024-08-13,Consulting Fee,48763.45,Salary,Income
2024-08-13,DMart,2115.29,Shopping,Expense
2024-08-13,Starbucks,1571.45,Food,Expense
2024-08-13,Netflix,2366.19,Entertainment,Expense
2024-08-13,Tech Corp Salary,91138.04,Salary,Income
2024-08-13,Gas Cylinder,13064.28,Bills & Utilities,Expense
2024-08-13,Ola,2340.95,Transportation,Expense
2024-08-14,Hospital Bill,333.22,Healthcare,Expense
2024-08-14,Monthly Rent,20492.42,Rent,Expense
2024-08-14,Zomato,2712.37,Food,Expense
2024-08-14,Consulting Fee,98630.99,Salary,Income
2024-08-14,Petrol Pump,1072.57,Transportation,Expense
2024-08-14,Amazon Prime,2349.66,Entertainment,Expense
2024-08-14,Netflix,456.24,Entertainment,Expense
2024-08-14,Jio Recharge,499.05,Bills & Utilities,Expense
2024-08-15,Monthly Rent,13300.16,Rent,Expense
2024-08-15,McDonalds,802.13,Food,Expense
2024-08-15,Electricity Bill,1411.33,Bills & Utilities,Expense
2024-08-15,Indigo Airlines,12384.73,Travel,Expense
2024-08-15,Indigo Airlines,4772.19,Travel,Expense
2024-08-15,Petrol Pump,1851.32,Transportation,Expense
2024-08-15,Flipkart,554.7,Shopping,Expense
2024-08-15,Myntra,814.12,Shopping,Expense
2024-08-15,Indigo Airlines,8960.2,Travel,Expense
2024-08-15,McDonalds,1593.9,Food,Expense
2024-08-16,Netflix,2292.01,Entertainment,Expense
2024-08-16,Hotel Taj,2214.4,Travel,Expense
2024-08-16,Airtel Broadband,2761.24,Bills & Utilities,Expense
2024-08-16,Metro Card Recharge,1883.62,Transportation,Expense
2024-08-16,Monthly Rent,29229.52,Rent,Expense
2024-08-16,Petrol Pump,2452.06,Transportation,Expense
2024-08-16,Amazon Prime,2646.25,Entertainment,Expense
2024-08-16,Spotify,2049.85,Entertainment,Expense
2024-08-16,Netflix,2055.31,Entertainment,Expense
2024-08-17,Netflix,2857.66,Entertainment,Expense
2024-08-17,Airtel Broadband,2592.94,Bills & Utilities,Expense
2024-08-17,Dominos Pizza,2073.34,Food,Expense
2024-08-17,Tech Corp Salary,109849.5,Salary,Income
2024-08-17,Spotify,2308.25,Entertainment,Expense
2024-08-17,Ola,132.15,Transportation,Expense
2024-08-17,Starbucks,1943.17,Food,Expense
2024-08-17,BookMyShow,1082.87,Entertainment,Expense
2024-08-17,Starbucks,1317.74,Food,Expense
2024-08-18,Starbucks,1104.95,Food,Expense
2024-08-18,Zomato,1228.97,Food,Expense
2024-08-18,Zomato,1320.21,Food,Expense
2024-08-18,DMart,1819.1,Shopping,Expense
2024-08-18,Spotify,1533.03,Entertainment,Expense
2024-08-18,Dominos Pizza,2310.82,Food,Expense
2024-08-18,Dental Checkup,2676.63,Healthcare,Expense
2024-08-19,Local Bakery,115.83,Food,Expense
2024-08-19,Monthly Rent,28085.44,Rent,Expense
2024-08-19,Uber,406.62,Transportation,Expense
2024-08-19,McDonalds,853.72,Food,Expense
2024-08-19,PVR Cinemas,1017.1,Entertainment,Expense
2024-08-19,Zomato,395.31,Food,Expense
2024-08-20,Monthly Rent,28487.16,Rent,Expense
2024-08-20,Spotify,334.81,Entertainment,Expense
2024-08-20,Indian Railways,1061.45,Transportation,Expense
2024-08-20,Freelance Gig,64741.9,Salary,Income
2024-08-20,Indian Railways,1560.24,Transportation,Expense
2024-08-20,Cafe Coffee Day,1022.12,Food,Expense
2024-08-20,Indian Railways,969.53,Transportation,Expense
2024-08-20,Indian Railways,2871.3,Transportation,Expense
2024-08-20,Zomato,2102.14,Food,Expense
2024-08-20,Zomato,2590.68,Food,Expense
2024-08-20,Petrol Pump,186.16,Transportation,Expense
2024-08-20,Zomato,2519.11,Food,Expense
2024-08-20,Swiggy,422.36,Food,Expense
2024-08-20,Spotify,896.77,Entertainment,Expense
2024-08-20,Amazon,1755.86,Shopping,Expense
2024-08-21,Local Bakery,385.23,Food,Expense
2024-08-21,McDonalds,690.69,Food,Expense
2024-08-21,Cafe Coffee Day,2239.79,Food,Expense
2024-08-21,Metro Card Recharge,2773.72,Transportation,Expense
2024-08-21,Dental Checkup,2930.5,Healthcare,Expense
2024-08-21,Local Bakery,1586.55,Food,Expense
2024-08-21,Starbucks,355.31,Food,Expense
2024-08-22,Cafe Coffee Day,1625.7,Food,Expense
2024-08-22,Amazon Prime,2976.25,Entertainment,Expense
2024-08-22,Zomato,2058.43,Food,Expense
2024-08-22,Zara,1568.86,Shopping,Expense
2024-08-22,Monthly Rent,12194.95,Rent,Expense
2024-08-22,Metro Card Recharge,1507.99,Transportation,Expense
2024-08-22,Hotel Taj,13377.93,Travel,Expense
2024-08-23,Cafe Coffee Day,1529.69,Food,Expense
2024-08-23,Reliance Digital,894.38,Shopping,Expense
2024-08-23,McDonalds,1160.89,Food,Expense
2024-08-23,Monthly Rent,14784.17,Rent,Expense
2024-08-23,Jio Recharge,2087.38,Bills & Utilities,Expense
2024-08-23,Myntra,225.74,Shopping,Expense
2024-08-23,Gas Cylinder,216.74,Bills & Utilities,Expense
2024-08-24,DMart,147.35,Shopping,Expense
2024-08-24,Zomato,270.81,Food,Expense
2024-08-25,Dental Checkup,2195.98,Healthcare,Expense
2024-08-25,Cafe Coffee Day,2130.07,Food,Expense
2024-08-25,Water Bill,2307.7,Bills & Utilities,Expense
2024-08-25,Airtel Broadband,215.07,Bills & Utilities,Expense
2024-08-25,Starbucks,2546.85,Food,Expense
2024-08-25,BookMyShow,1052.8,Entertainment,Expense
2024-08-26,Practo Consultation,2696.14,Healthcare,Expense
2024-08-26,Ola,1079.35,Transportation,Expense
2024-08-26,Monthly Rent,26407.5,Rent,Expense
2024-08-26,PVR Cinemas,1074.85,Entertainment,Expense
2024-08-26,Zara,1289.71,Shopping,Expense
2024-08-26,Ola,240.52,Transportation,Expense
2024-08-26,Amazon,2342.05,Shopping,Expense
2024-08-26,Netflix,746.57,Entertainment,Expense
2024-08-26,Monthly Rent,27387.15,Rent,Expense
2024-08-27,Local Bakery,985.2,Food,Expense
2024-08-27,Oyo Rooms,7169.44,Travel,Expense
2024-08-27,DMart,382.52,Shopping,Expense
2024-08-27,Dominos Pizza,1958.24,Food,Expense
2024-08-27,PVR Cinemas,2556.08,Entertainment,Expense
2024-08-27,Dominos Pizza,2922.46,Food,Expense
2024-08-28,Amazon,522.07,Shopping,Expense
2024-08-28,Uber,2270.01,Transportation,Expense
2024-08-28,Ola,1444.59,Transportation,Expense
2024-08-28,Uber,2317.03,Transportation,Expense
2024-08-28,Starbucks,2137.07,Food,Expense
2024-08-28,Cafe Coffee Day,366.2,Food,Expense
2024-08-28,Petrol Pump,1526.6,Transportation,Expense
2024-08-29,Ola,2376.96,Transportation,Expense
2024-08-29,Jio Recharge,1987.26,Bills & Utilities,Expense
2024-08-29,McDonalds,1828.61,Food,Expense
2024-08-29,Water Bill,1299.03,Bills & Utilities,Expense
2024-08-29,Netflix,1074.46,Entertainment,Expense
2024-08-29,Zomato,1444.71,Food,Expense
2024-08-29,Ola,435.19,Transportation,Expense
2024-08-29,Uber,2005.86,Transportation,Expense
2024-08-29,Gas Cylinder,2060.04,Bills & Utilities,Expense
2024-08-30,Petrol Pump,594.93,Transportation,Expense
2024-08-30,Netflix,2105.09,Entertainment,Expense
2024-08-30,Myntra,977.71,Shopping,Expense
2024-08-30,Tech Corp Salary,83357.36,Salary,Income
2024-08-30,Uber,1901.42,Transportation,Expense
2024-08-30,Gas Cylinder,1488.17,Bills & Utilities,Expense
2024-08-31,Metro Card Recharge,2448.89,Transportation,Expense
2024-08-31,Jio Recharge,1260.91,Bills & Utilities,Expense
2024-08-31,Spotify,581.66,Entertainment,Expense
2024-08-31,Netflix,1442.86,Entertainment,Expense
2024-08-31,Uber,1497.2,Transportation,Expense
2024-08-31,Reliance Digital,679.83,Shopping,Expense
2024-08-31,Amazon,1454.22,Shopping,Expense
2024-08-31,PVR Cinemas,664.0,Entertainment,Expense
2024-09-01,Netflix,729.38,Entertainment,Expense
2024-09-01,DMart,2590.11,Shopping,Expense
2024-09-01,MakeMyTrip,6713.52,Travel,Expense
2024-09-01,Starbucks,2516.33,Food,Expense
2024-09-02,McDonalds,644.83,Food,Expense
2024-09-02,PVR Cinemas,2152.06,Entertainment,Expense
2024-09-02,Cafe Coffee Day,1208.05,Food,Expense
2024-09-02,Monthly Rent,18618.85,Rent,Expense
2024-09-03,Dominos Pizza,988.61,Food,Expense
2024-09-03,Spotify,2538.83,Entertainment,Expense
2024-09-03,Apollo Pharmacy,1829.13,Healthcare,Expense
2024-09-03,Uber,416.96,Transportation,Expense
2024-09-04,McDonalds,1209.57,Food,Expense
2024-09-04,Practo Consultation,1340.75,Healthcare,Expense
2024-09-04,Spotify,1118.89,Entertainment,Expense
2024-09-04,Apollo Pharmacy,248.01,Healthcare,Expense
2024-09-04,Local Bakery,2667.41,Food,Expense
2024-09-04,Hospital Bill,2088.45,Healthcare,Expense
2024-09-05,Jio Recharge,1285.79,Bills & Utilities,Expense
2024-09-05,Metro Card Recharge,2616.06,Transportation,Expense
2024-09-05,Metro Card Recharge,901.41,Transportation,Expense
2024-09-05,Ola,392.77,Transportation,Expense
2024-09-05,Metro Card Recharge,2609.73,Transportation,Expense
2024-09-05,Local Bakery,2302.33,Food,Expense
2024-09-05,Myntra,2589.49,Shopping,Expense
2024-09-05,Tech Corp Salary,114233.91,Salary,Income
2024-09-05,Amazon,1996.54,Shopping,Expense
2024-09-05,PVR Cinemas,2392.7,Entertainment,Expense
2024-09-06,DMart,1976.69,Shopping,Expense
2024-09-06,Indigo Airlines,2933.22,Travel,Expense
2024-09-06,Metro Card Recharge,950.29,Transportation,Expense
2024-09-06,McDonalds,1182.02,Food,Expense
2024-09-06,Netflix,234.82,Entertainment,Expense
2024-09-07,Amazon,475.92,Shopping,Expense
2024-09-07,Amazon,603.44,Shopping,Expense
2024-09-07,BookMyShow,1917.35,Entertainment,Expense
2024-09-08,Dental Checkup,2326.31,Healthcare,Expense
2024-09-08,Ola,1973.32,Transportation,Expense
2024-09-08,Indian Railways,1940.57,Transportation,Expense
2024-09-08,Zara,2334.89,Shopping,Expense
2024-09-08,Starbucks,360.72,Food,Expense
2024-09-08,Spotify,2144.91,Entertainment,Expense
2024-09-08,Cafe Coffee Day,2202.89,Food,Expense
2024-09-08,Cafe Coffee Day,2139.38,Food,Expense
2024-09-08,Petrol Pump,2095.86,Transportation,Expense
2024-09-09,Swiggy,1890.26,Food,Expense
2024-09-09,Oyo Rooms,6129.72,Travel,Expense
2024-09-09,Metro Card Recharge,1294.07,Transportation,Expense
2024-09-09,McDonalds,1970.79,Food,Expense
2024-09-09,Water Bill,1335.78,Bills & Utilities,Expense
2024-09-10,Cafe Coffee Day,572.47,Food,Expense
2024-09-10,Airtel Broadband,2550.69,Bills & Utilities,Expense
2024-09-10,Swiggy,650.27,Food,Expense
2024-09-10,Freelance Gig,49885.0,Salary,Income
2024-09-11,Myntra,407.48,Shopping,Expense
2024-09-11,Amazon,732.95,Shopping,Expense
2024-09-11,MakeMyTrip,14626.77,Travel,Expense
2024-09-11,Reliance Digital,2511.05,Shopping,Expense
2024-09-11,Amazon,2793.32,Shopping,Expense
2024-09-11,Indigo Airlines,3125.65,Travel,Expense
2024-09-11,Reliance Digital,914.47,Shopping,Expense
2024-09-12,Amazon Prime,289.53,Entertainment,Expense
2024-09-12,Dominos Pizza,1234.67,Food,Expense
2024-09-12,Reliance Digital,124.09,Shopping,Expense
2024-09-12,Monthly Rent,24446.95,Rent,Expense
2024-09-12,Myntra,2097.77,Shopping,Expense
2024-09-12,Amazon Prime,942.03,Entertainment,Expense
2024-09-12,Petrol Pump,5846.45,Transportation,Expense
2024-09-12,Monthly Rent,23393.17,Rent,Expense
2024-09-13,Amazon,956.5,Shopping,Expense
2024-09-13,Local Bakery,1132.65,Food,Expense
2024-09-13,Local Bakery,2220.89,Food,Expense
2024-09-13,Ola,2614.02,Transportation,Expense
2024-09-13,Indigo Airlines,10137.03,Travel,Expense
2024-09-13,Spotify,2246.68,Entertainment,Expense
2024-09-13,Petrol Pump,1718.69,Transportation,Expense
2024-09-13,Water Bill,1448.95,Bills & Utilities,Expense
2024-09-14,Uber,439.2,Transportation,Expense
2024-09-14,McDonalds,2737.15,Food,Expense
2024-09-14,Ola,249.21,Transportation,Expense
2024-09-14,BookMyShow,1889.67,Entertainment,Expense
2024-09-14,Netflix,1886.74,Entertainment,Expense
2024-09-14,Myntra,403.57,Shopping,Expense
2024-09-14,Ola,224.1,Transportation,Expense
2024-09-14,Freelance Gig,38493.85,Salary,Income
2024-09-15,Spotify,1887.0,Entertainment,Expense
2024-09-15,Jio Recharge,1943.57,Bills & Utilities,Expense
2024-09-15,Freelance Gig,106644.4,Salary,Income
